Designator,Mid X,Mid Y,Layer,Rotation
C105,225.8590mm,-108.6470mm,bottom,180
C106,232.1370mm,-99.7600mm,bottom,180
C107,157.8860mm,-102.9220mm,bottom,180
C108,164.1570mm,-93.8130mm,bottom,180
C109,180.8550mm,-123.9840mm,bottom,180
C110,192.9700mm,-104.4700mm,bottom,180
C111,191.7780mm,-93.5200mm,bottom,180
C113,199.9700mm,-100.4700mm,bottom,180
C114,193.1730mm,-117.0000mm,bottom,180
C116,228.7450mm,-112.8950mm,bottom,180
C119,214.3480mm,-100.4700mm,bottom,180
C120,240.0260mm,-96.4700mm,bottom,180
C121,206.2490mm,-108.7700mm,bottom,180
C122,209.1270mm,-96.2830mm,bottom,180
C20,302.6450mm,-107.4950mm,top,270
C205,225.7870mm,-146.1770mm,bottom,180
C206,232.0650mm,-137.2900mm,bottom,180
C207,157.8860mm,-142.9220mm,bottom,180
C208,164.1570mm,-133.8130mm,bottom,180
C209,180.8550mm,-163.9840mm,bottom,180
C21,306.4700mm,-107.7450mm,top,270
C210,192.8980mm,-142.0000mm,bottom,180
C211,187.2660mm,-128.4670mm,bottom,180
C213,199.8980mm,-138.0000mm,bottom,180
C214,193.1730mm,-157.0000mm,bottom,180
C216,225.5760mm,-153.0000mm,bottom,180
C219,214.2760mm,-138.0000mm,bottom,180
C22,328.1700mm,-117.0700mm,top,270
C220,239.9540mm,-134.0000mm,bottom,180
C221,207.1090mm,-146.1770mm,bottom,180
C222,209.0550mm,-133.8130mm,bottom,180
C23,340.1700mm,-117.0700mm,top,180
C24,320.6700mm,-103.4450mm,top,0
C25,328.1700mm,-123.0700mm,top,180
C26,153.7450mm,-113.9950mm,top,0
C27,370.1250mm,-120.0700mm,top,0
C28,364.0950mm,-63.1200mm,bottom,0
C29,358.2450mm,-76.9450mm,bottom,0
C30,365.8450mm,-78.2700mm,bottom,0
C301,212.3510mm,-113.7140mm,top,0
C302,225.6200mm,-112.8950mm,top,0
C303,235.3510mm,-126.7140mm,top,0
C304,248.6200mm,-125.8950mm,top,0
C305,218.5000mm,-139.0000mm,top,0
C306,276.2450mm,-108.8950mm,top,0
C307,269.2450mm,-108.8950mm,top,0
C308,269.2450mm,-112.8950mm,top,0
C309,207.0000mm,-118.0000mm,top,0
C31,370.5950mm,-72.5450mm,bottom,0
C310,200.0000mm,-118.0000mm,top,0
C32,297.5200mm,-102.8700mm,top,0
C33,294.5200mm,-115.6200mm,top,0
C34,294.5200mm,-106.6200mm,top,0
C35,294.5200mm,-119.6200mm,top,0
C36,294.3950mm,-126.2450mm,top,0
C37,295.4000mm,-137.4000mm,top,0
C38,284.9650mm,-110.0900mm,top,0
C39,285.0900mm,-127.0900mm,top,0
C40,158.0000mm,-163.5000mm,bottom,180
C401,214.6060mm,-146.8190mm,top,0
C402,227.8750mm,-146.0000mm,top,0
C403,237.6060mm,-159.8190mm,top,0
C404,250.2750mm,-159.0000mm,top,270
C405,218.5000mm,-163.0000mm,top,0
C406,278.5000mm,-142.0000mm,top,0
C407,271.5000mm,-142.0000mm,top,0
C408,271.5000mm,-146.0000mm,top,0
C409,207.0000mm,-142.0000mm,top,0
C41,162.0000mm,-163.5000mm,bottom,180
C410,200.0000mm,-142.0000mm,top,0
C42,166.0000mm,-163.5000mm,bottom,180
C43,366.8950mm,-63.1200mm,bottom,180
C501,272.5500mm,-93.7650mm,top,0
C502,290.5500mm,-93.7650mm,top,0
C503,272.5500mm,-97.7650mm,top,0
C504,290.5500mm,-97.7650mm,top,0
C505,351.8200mm,-59.4950mm,bottom,90
C506,343.7250mm,-71.4020mm,bottom,180
C507,339.1540mm,-69.5300mm,bottom,180
C508,348.2140mm,-62.1700mm,bottom,90
C509,281.1800mm,-97.6250mm,bottom,180
C510,272.8200mm,-91.3150mm,bottom,90
C511,271.8060mm,-96.1770mm,bottom,90
C512,280.3450mm,-87.0200mm,bottom,180
D1,285.0450mm,-115.1150mm,top,0
D103,164.6780mm,-117.0000mm,bottom,180
D104,171.6780mm,-117.0000mm,bottom,180
D105,164.6780mm,-121.0000mm,bottom,180
D106,171.6780mm,-121.0000mm,bottom,180
