Ref,Val,Package,PosX,PosY,Rot,Side
"C28","CC0603JRNPO9BN103","C0603",331.075000,55.625000,180.000000,bottom
"C29","RVT1H220M0605","CAP-SMD_BD6.3-L6.6-W6.6-FD",325.225000,41.800000,180.000000,bottom
"C30","CC0805KKX7R9BB105","C0805",332.825000,40.475000,180.000000,bottom
"C31","CC0603JRX7R8BB104","C0603",337.575000,46.200000,180.000000,bottom
"C40","100nF","C0603",124.980000,-44.755000,0.000000,bottom
"C41","100nF","C0603",128.980000,-44.755000,0.000000,bottom
"C42","10uF","C0805",132.980000,-44.755000,0.000000,bottom
"C105","100nF","C0603",192.839000,10.098000,0.000000,bottom
"C106","100nF","C0603",199.117000,18.985000,0.000000,bottom
"C107","100nF","C0603",124.866000,15.823000,0.000000,bottom
"C108","100nF","C0603",131.137000,24.932000,0.000000,bottom
"C109","100nF","C0603",147.835000,-5.239000,0.000000,bottom
"C110","3.3uF","C0805",159.950000,14.275000,0.000000,bottom
"C111","100nF","C0603",158.758000,25.225000,0.000000,bottom
"C113","1uF X7R 50V","C0805",166.950000,18.275000,0.000000,bottom
"C114","1nF C0G","C0603",160.153000,1.745000,0.000000,bottom
"C116","220pF C0G","C0603",195.725000,5.850000,0.000000,bottom
"C119","15nF C0G 0805","C0805",181.328000,18.275000,0.000000,bottom
"C120","1uF X7R 50V","C0805",207.006000,22.275000,0.000000,bottom
"C121","100nF","C0603",173.229000,9.975000,0.000000,bottom
"C122","100nF","C0603",176.107000,22.462000,0.000000,bottom
"C205","100nF","C0603",192.767000,-27.432000,0.000000,bottom
"C206","100nF","C0603",199.045000,-18.545000,0.000000,bottom
"C207","100nF","C0603",124.866000,-24.177000,0.000000,bottom
"C208","100nF","C0603",131.137000,-15.068000,0.000000,bottom
"C209","100nF","C0603",147.835000,-45.239000,0.000000,bottom
"C210","3.3uF","C0805",159.878000,-23.255000,0.000000,bottom
"C211","100nF","C0603",154.246000,-9.722000,0.000000,bottom
"C213","1uF X7R 50V","C0805",166.878000,-19.255000,0.000000,bottom
"C214","1nF C0G","C0603",160.153000,-38.255000,0.000000,bottom
"C216","220pF C0G","C0603",192.556000,-34.255000,0.000000,bottom
"C219","15nF C0G 0805","C0805",181.256000,-19.255000,0.000000,bottom
"C220","1uF X7R 50V","C0805",206.934000,-15.255000,0.000000,bottom
"C221","100nF","C0603",174.089000,-27.432000,0.000000,bottom
"C222","100nF","C0603",176.035000,-15.068000,0.000000,bottom
"C505","1uF X7R 50V","C0805",318.800000,59.250000,90.000000,bottom
"C506","1uF X7R 50V","C0805",310.705000,47.343000,0.000000,bottom
"C507","100nF","C0603",306.134000,49.215000,0.000000,bottom
"C508","100nF","C0603",315.194000,56.575000,90.000000,bottom
"C509","100nF","C0603",248.160000,21.120000,0.000000,bottom
"C510","100nF","C0603",239.800000,27.430000,90.000000,bottom
"C511","1uF X7R 50V","C0805",238.786000,22.568000,90.000000,bottom
"C512","1uF X7R 50V","C0805",247.325000,31.725000,0.000000,bottom
"D103","1N4148W","SOD-123_L2.8-W1.8-LS3.7-RD",131.658000,1.745000,0.000000,bottom
"D104","1N4148W","SOD-123_L2.8-W1.8-LS3.7-RD",138.658000,1.745000,0.000000,bottom
"D105","1N4148W","SOD-123_L2.8-W1.8-LS3.7-RD",131.658000,-2.255000,0.000000,bottom
"D106","1N4148W","SOD-123_L2.8-W1.8-LS3.7-RD",138.658000,-2.255000,0.000000,bottom
"D107","1N4148W","SOD-123_L2.8-W1.8-LS3.7-RD",178.325000,7.800000,0.000000,bottom
"D203","1N4148W","SOD-123_L2.8-W1.8-LS3.7-RD",131.875000,-35.850000,0.000000,bottom
"D204","1N4148W","SOD-123_L2.8-W1.8-LS3.7-RD",138.875000,-35.850000,0.000000,bottom
"D205","1N4148W","SOD-123_L2.8-W1.8-LS3.7-RD",131.875000,-39.850000,0.000000,bottom
"D206","1N4148W","SOD-123_L2.8-W1.8-LS3.7-RD",138.875000,-39.850000,0.000000,bottom
"D207","1N4148W","SOD-123_L2.8-W1.8-LS3.7-RD",181.256000,-27.255000,0.000000,bottom
"F1","ASMD1812-200","F1812",331.300000,48.975000,180.000000,bottom
"J1","TFPUSH","TF-SMD_TF-PUSH",341.400000,32.175000,-90.000000,bottom
"J2","PJ-376","AUDIO-TH_PJ-376",96.130000,63.745000,-90.000000,bottom
"J3","PJ-376","AUDIO-TH_PJ-376",118.130000,63.745000,-90.000000,bottom
"J4","PJ-376","AUDIO-TH_PJ-376",140.130000,63.745000,-90.000000,bottom
"J5","PJ-376","AUDIO-TH_PJ-376",162.130000,63.745000,-90.000000,bottom
"J6","PJ-376","AUDIO-TH_PJ-376",311.825000,63.745000,-90.000000,bottom
"J7","PJ-603_C41409498","AUDIO-TH_PJ-603",237.180000,53.695000,-90.000000,bottom
"J8","PJ-603_C41409498","AUDIO-TH_PJ-603",254.180000,53.695000,-90.000000,bottom
"J9","PJ-603_C41409498","AUDIO-TH_PJ-603",279.980000,53.695000,-90.000000,bottom
"J10","PJ-603_C41409498","AUDIO-TH_PJ-603",294.980000,53.695000,-90.000000,bottom
"Q1","J113 / MMBFJ113","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",181.279000,24.047000,0.000000,bottom
"Q2","J113 / MMBFJ113","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",181.256000,-15.255000,0.000000,bottom
"R22","RT0603BRD075K1L","R0603",324.725000,56.325000,180.000000,bottom
"R23","RT0603BRD075K1L","R0603",320.750000,53.650000,0.000000,bottom
"R104","0R  (IN GAIN -- OPEN, see docs/bbd-mki.md)","R0603",121.980000,24.745000,0.000000,bottom
"R106","100k","R0603",114.980000,20.745000,0.000000,bottom
"R107","1k","R0603",114.980000,24.745000,0.000000,bottom
"R110","22k","R0603",127.358000,5.745000,0.000000,bottom
"R111","22k","R0603",127.358000,1.745000,0.000000,bottom
"R112","82k","R0603",136.358000,20.745000,0.000000,bottom
"R113","47k","R0603",136.358000,16.745000,0.000000,bottom
"R114","51k","R0603",136.358000,24.745000,0.000000,bottom
"R115","100k","R0603",127.358000,-2.255000,0.000000,bottom
"R116","100k","R0603",131.658000,5.745000,0.000000,bottom
"R117","100k","R0603",138.658000,5.745000,0.000000,bottom
"R118","10k","R0603",136.358000,12.745000,0.000000,bottom
"R119","4.7k","R0603",159.950000,22.275000,0.000000,bottom
"R120","62k","R0603",159.950000,18.275000,0.000000,bottom
"R121","2.2M","R0603",160.153000,-2.255000,0.000000,bottom
"R122","100k","R0603",166.950000,22.275000,0.000000,bottom
"R123","39k","R0603",164.453000,5.745000,0.000000,bottom
"R124","100k","R0603",166.950000,14.275000,0.000000,bottom
"R125","100k","R0603",192.556000,-2.255000,0.000000,bottom
"R126","10k","R0603",200.025000,5.850000,0.000000,bottom
"R127","6.2k","R0603",192.556000,1.745000,0.000000,bottom
"R128","100k","R0603",181.328000,14.275000,0.000000,bottom
"R129","22k","R0603",185.628000,14.275000,0.000000,bottom
"R130","100k","R0603",182.625000,7.800000,0.000000,bottom
"R131","470R","R0603",207.006000,18.275000,0.000000,bottom
"R132","470R","R0603",207.006000,14.275000,0.000000,bottom
"R204","0R  (IN GAIN -- OPEN, see docs/bbd-mki.md)","R0603",121.980000,-15.255000,0.000000,bottom
"R206","100k","R0603",114.980000,-19.255000,0.000000,bottom
"R207","1k","R0603",114.980000,-15.255000,0.000000,bottom
"R210","22k","R0603",127.575000,-31.850000,0.000000,bottom
"R211","22k","R0603",127.575000,-35.850000,0.000000,bottom
"R212","82k","R0603",136.358000,-19.255000,0.000000,bottom
"R213","47k","R0603",136.358000,-23.255000,0.000000,bottom
"R214","51k","R0603",136.358000,-15.255000,0.000000,bottom
"R215","100k","R0603",127.575000,-39.850000,0.000000,bottom
"R216","100k","R0603",131.875000,-31.850000,0.000000,bottom
"R217","100k","R0603",138.875000,-31.850000,0.000000,bottom
"R218","10k","R0603",136.358000,-27.255000,0.000000,bottom
"R219","4.7k","R0603",159.878000,-15.255000,0.000000,bottom
"R220","62k","R0603",159.878000,-19.255000,0.000000,bottom
"R221","2.2M","R0603",160.153000,-42.255000,0.000000,bottom
"R222","100k","R0603",166.878000,-15.255000,0.000000,bottom
"R223","39k","R0603",164.453000,-34.255000,0.000000,bottom
"R224","100k","R0603",166.878000,-23.255000,0.000000,bottom
"R225","100k","R0603",192.556000,-42.255000,0.000000,bottom
"R226","10k","R0603",196.856000,-34.255000,0.000000,bottom
"R227","6.2k","R0603",192.556000,-38.255000,0.000000,bottom
"R228","100k","R0603",181.256000,-23.255000,0.000000,bottom
"R229","22k","R0603",185.556000,-23.255000,0.000000,bottom
"R230","100k","R0603",185.556000,-27.255000,0.000000,bottom
"R231","470R","R0603",206.934000,-19.255000,0.000000,bottom
"R232","470R","R0603",206.934000,-23.255000,0.000000,bottom
"R509","100k","R0603",321.700000,49.100000,0.000000,bottom
"R510","100k","R0603",319.375000,64.650000,0.000000,bottom
"R511","4R7","R0603",325.650000,60.050000,0.000000,bottom
"R512","4R7","R0603",309.748000,41.424000,0.000000,bottom
"R513","1k3","R0603",278.675000,41.650000,0.000000,bottom
"R514","1k","R0603",273.900000,41.575000,0.000000,bottom
"R515","1k3","R0603",292.500000,40.750000,0.000000,bottom
"R516","1k","R0603",289.000000,40.750000,0.000000,bottom
"R517","1k","R0603",232.450000,40.150000,90.000000,bottom
"R518","1k","R0603",260.925000,36.650000,90.000000,bottom
"R519","100k","R0603",233.250000,35.275000,90.000000,bottom
"R520","100k","R0603",251.210000,27.380000,90.000000,bottom
"R521","2k2","R0603",242.850000,20.850000,0.000000,bottom
"R522","2k2","R0603",252.100000,21.000000,90.000000,bottom
"RT301","20k trim","RES-ADJ-SMD_3224W",187.425000,3.252000,0.000000,bottom
"RT401","20k trim","RES-ADJ-SMD_3224W",187.398000,-32.193000,0.000000,bottom
"RT501","20k trim","RES-ADJ-SMD_3224W",304.652000,52.917000,0.000000,bottom
"RT502","20k trim","RES-ADJ-SMD_3224W",304.534000,45.065000,0.000000,bottom
"RT503","20k trim","RES-ADJ-SMD_3224W",233.186000,25.973000,180.000000,bottom
"RT504","20k trim","RES-ADJ-SMD_3224W",254.710000,26.111000,0.000000,bottom
"TP6","DRY L","TestPoint_TH_D1.0mm",119.260000,24.398000,0.000000,bottom
"TP7","DRY R","TestPoint_TH_D1.0mm",119.260000,-15.602000,0.000000,bottom
"TP8","SIGIN L","TestPoint_TH_D1.0mm",139.108000,12.745000,0.000000,bottom
"TP9","SIGIN R","TestPoint_TH_D1.0mm",139.108000,-27.255000,0.000000,bottom
"TP10","LED L","TestPoint_TH_D1.0mm",198.075000,-5.203000,0.000000,bottom
"TP11","LED R","TestPoint_TH_D1.0mm",200.330000,-38.308000,0.000000,bottom
"TP12","CLK L","TestPoint_TH_D1.0mm",143.025000,9.450000,0.000000,bottom
"TP13","CLK R","TestPoint_TH_D1.0mm",143.550000,-38.100000,0.000000,bottom
"TP14","TIME CV","TestPoint_TH_D1.0mm",130.181000,7.742000,0.000000,bottom
"TP15","LPG ENV","TestPoint_TH_D1.0mm",218.304000,-22.247000,0.000000,bottom
"U7","DKM10E-12","PWRM-TH_DKMW30F-12",280.045000,-4.370000,0.000000,bottom
"U8","78L05","SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR",115.197000,-42.850000,0.000000,bottom
"U9","OPA1688_FLAT","SOP-8_L4.9-W3.9-P1.27-LS6.0-BL",310.944000,53.745000,0.000000,bottom
"U10","OPA1688_FLAT","SOP-8_L4.9-W3.9-P1.27-LS6.0-BL",245.530000,25.480000,90.000000,bottom
"U101","V3205SD","DIP-8_SPECIAL_V3205SD",151.025000,16.825000,0.000000,bottom
"U102","TL072_FLAT","SOIC-8_L4.9-W3.9-P1.27-LS6.1-BL",193.817000,16.275000,0.000000,bottom
"U103","TL072_FLAT","SOIC-8_L4.9-W3.9-P1.27-LS6.1-BL",130.169000,18.745000,0.000000,bottom
"U104","CD4046B","SO-16_L10.3-W5.3-P1.27-LS7.8-BL",151.405000,1.745000,0.000000,bottom
"U106","TL072_FLAT","SOIC-8_L4.9-W3.9-P1.27-LS6.1-BL",175.139000,16.275000,0.000000,bottom
"U201","V3205SD","DIP-8_SPECIAL_V3205SD",151.268000,-21.255000,0.000000,bottom
"U202","TL072_FLAT","SOIC-8_L4.9-W3.9-P1.27-LS6.1-BL",193.745000,-21.255000,0.000000,bottom
"U203","TL072_FLAT","SOIC-8_L4.9-W3.9-P1.27-LS6.1-BL",130.169000,-21.255000,0.000000,bottom
"U204","CD4046B","SO-16_L10.3-W5.3-P1.27-LS7.8-BL",151.405000,-38.255000,0.000000,bottom
"U206","TL072_FLAT","SOIC-8_L4.9-W3.9-P1.27-LS6.1-BL",175.067000,-21.255000,0.000000,bottom
"C20","CL21A106KAYNNNE","C0805",269.625000,11.250000,-90.000000,top
"C21","CL05B104KO5NNNC","C0402",273.450000,11.000000,-90.000000,top
"C22","CL21A106KAYNNNE","C0805",295.150000,1.675000,-90.000000,top
"C23","CL05B104KO5NNNC","C0402",307.150000,1.675000,180.000000,top
"C24","CL21A106KAYNNNE","C0805",287.650000,15.300000,0.000000,top
"C25","CL21A106KAYNNNE","C0805",295.150000,-4.325000,180.000000,top
"C26","CL05B104KO5NNNC","C0402",120.725000,4.750000,0.000000,top
"C27","CL05B104KO5NNNC","C0402",337.105000,-1.325000,0.000000,top
"C32","RVT1E470M0505_C2977553","CAP-SMD_BD5.0-L5.3-W5.3-LS6.3-FD",264.500000,15.875000,0.000000,top
"C33","RVT1E470M0505_C2977553","CAP-SMD_BD5.0-L5.3-W5.3-LS6.3-FD",261.500000,3.125000,0.000000,top
"C34","CC0603JRX7R8BB104","C0603",261.500000,12.125000,0.000000,top
"C35","CC0603JRX7R8BB104","C0603",261.500000,-0.875000,0.000000,top
"C36","RVT1H220M0605","CAP-SMD_BD6.3-L6.6-W6.6-FD",261.375000,-7.500000,0.000000,top
"C37","RVT1H220M0605","CAP-SMD_BD6.3-L6.6-W6.6-FD",262.380000,-18.655000,0.000000,top
"C38","CC0603JRX7R8BB104","C0603",251.945000,8.655000,0.000000,top
"C39","CC0603JRX7R8BB104","C0603",252.070000,-8.345000,0.000000,top
"C301","100nF","C0603",179.331000,5.031000,0.000000,top
"C302","100nF","C0603",192.600000,5.850000,0.000000,top
"C303","100nF","C0603",202.331000,-7.969000,0.000000,top
"C304","100nF","C0603",215.600000,-7.150000,0.000000,top
"C305","2nF C0G","C0603",185.480000,-20.255000,0.000000,top
"C306","1uF X7R 50V","C0805",243.225000,9.850000,0.000000,top
"C307","220pF C0G","C0603",236.225000,9.850000,0.000000,top
