# Vuulgaris V1 panel-facing placement, generated from mockups/generate-faceplate.py
#   python3 mockups/generate-faceplate.py --placement > hardware/placement-panel-facing.txt
# ORIGIN: panel top-left corner. X right, Y DOWN. Millimetres.
# Panel 298.286 x 130.810mm. All parts on the MAIN PCB,
# protruding through faceplate openings, EXCEPT the pads which are faceplate copper.

REF     PART                                               X         Y  NOTE
ENC1    encoder, ch1 A                                25.143    21.395  -> MCP23017
ENC2    encoder, ch1 B                                25.143    37.851  -> MCP23017
ENC3    encoder, ch2 A                                47.143    21.395  -> MCP23017
ENC4    encoder, ch2 B                                47.143    37.851  -> MCP23017
ENC5    encoder, ch3 A                                69.143    21.395  -> MCP23017
ENC6    encoder, ch3 B                                69.143    37.851  -> MCP23017
ENC7    encoder, ch4 A                                91.143    21.395  -> MCP23017
ENC8    encoder, ch4 B                                91.143    37.851  -> MCP23017
RV1     POT 9mm DUAL-GANG, CUTOFF                    119.143    21.395  ANALOG -> LPG
RV2     POT 9mm DUAL-GANG, RESONANCE                 119.143    37.851  ANALOG -> LPG
RV3     POT 9mm DUAL-GANG, FILTER CV AMT             141.143    21.395  ANALOG -> LPG
RV4     POT 9mm DUAL-GANG, TIME                      141.143    37.851  ANALOG -> BBD
RV5     POT 9mm DUAL-GANG, FEEDBACK                  163.143    21.395  ANALOG -> BBD
RV6     POT 9mm DUAL-GANG, WET/DRY                   163.143    37.851  ANALOG -> BBD
SW1     DPDT LPG mode VCF/VCA                        180.643    37.631  ANALOG -> LPG
SW2     DPDT SOURCE resample/ext                     193.643    37.631  ANALOG -> LPG
DS1     OLED 2.42in SSD1309 (TOP-LEFT)               205.043    10.049  SPI -> Daisy
ENC0    encoder + PUSH, main UI                       33.571    70.928  -> MCP23017 U4 GPB0-2
SW4     Cherry MX key 1 (general UI)                  24.046    95.129  -> MCP23017 U4 GPA4
SW5     Cherry MX key 2 (general UI)                  43.096    95.129  -> MCP23017 U4 GPA5
SW6     Cherry MX key 3 (general UI)                  24.046   114.178  -> MCP23017 U4 GPA6
SW7     Cherry MX key 4 (general UI)                  43.096   114.178  -> MCP23017 U4 GPA7

# FACEPLATE COPPER (layer 1, exposed, no soldermask):
#   pad1  x 61.143..277.143   y 60.453..70.453
#   pad2  x 61.143..277.143   y 78.453..88.453
#   pad3  x 61.143..277.143   y 96.453..106.453
#   pad4  x 61.143..277.143   y 114.453..124.453
#   100 comb teeth per pad, pitch 2.160mm, width 1.950mm

# ENCLOSURE: 6mm walls all round, panel screws onto the wall tops
#   cavity        286.29 x 118.81mm
#   MAIN PCB MAX  284.3 x 116.8mm
#   PCB ORIGIN sits at panel (6.995, 7.000); pcb = panel - that offset
